isbn,title,authors,overview
9780307774637,"150 Vegan Favorites: Fresh, Easy, And Incredibly Delicious Recipes You Can Enjoy Every Day",['Jay Solomon'],"<b>Gourmet Vegan Fare Prepared with Culinary Flair!</b> <br>
Jay Solomon knows how to make vegan food taste good. It just takes a bit of creativity — something Jay has in spades. Here one of the most renowned vegetarian cooks offers recipes that make food achingly good. His secret? The incredibly subtle effect of fresh herbs, spicy chilies, and fragrant spices. In <b><i>150 Vegan Favorites</i></b>, you'll explore the exciting possibilities of cooking with these flavorful yet easy-to-find ingredients. In addition, you will begin to use marvelous ingredients such as colorful leafy vegetables, couscous, red lentils, wild rice, butternut squash, and West Indian pumpkin. <br>
You'll find such tantalizingly delicious recipes as: <br>
·Curried Squash with Winter Greens <br>
·Tangy Couscous with Black Beans and Corn <br>
·Lemony Artichoke Pilaf <br>
·Yellow Rice and Avocado Burritos <br>
·Rosemary-Roasted Jerusalem Artichokes <br>
·Mango-Banana Flambe<br>
Also included are helpful shopping tips and glossaries of rices, grains, legumes, and squash. <br>
You don't have to be vegan or even vegetarian to enjoy these zesty recipes. With <b><i>150 Vegan Favorites</i></b>, meat-free, dairy-free cooking has never been easier or more delicious!<br>
<br>
<br>
<i>From the Trade Paperback edition.</i>"
9781589233652,50 Ways To Paint Ceilings And Floors: The Easy Step-by-step Way To Decorator Looks (50 Ways Series),['Elise Kinkead'],"<b>Home Beauty for Underfoot &amp; Overhead</b>
<p>This third book in the 50 Ways series presents a whole new set of projects for creating beautifully decorated surfaces around your home-this time it's the floors and ceilings that are in for a treat. Using ordinary paint and decorative tools, as well as prefabricated moldings and paneling, readers will be able to turn floors and ceilings into amazing works of decor.</p>
<p>From Venetian Plaster to Stenciled Stars and Applied Motifs, you'll find a trove of floor and ceiling painting techniques you never imagined would be possible, let alone so easy. Faux Drapery, Bead Board, Floor Cloth, Wood Floors, Tile &amp; Stone, Linoleum and even Cement Floors round out just 10 of the 50 ways.</p>
<p>Materials for these projects are widely available at craft stores and home improvement centers nationwide, and with a wide range of project styles to choose from, this book will be a must-have source of inspiration and information for every homeowners.</p>"
9781589233867,"1001 Ideas For Outdoor Spaces: The Ultimate Sourcebook:  Decking, Paving, Designs & Accessories",['Brett Martin'],"<b>Inspiration for Serious Outside Spaces</b>
<p><i>1001 Ideas for Outdoor Spaces</i> will inspire readers to upgrade their outdoor living areas. Whether budget allows for a few added accessories and plants or a full landscaping project complete with a deck or patio, this book will offer readers the many options they have to get the perfect outdoor space. With homeowners spending considerable time transforming outdoor spaces into practical and elegant additions to the home, selecting the right flooring, overheads, and accessories for outdoor rooms are now all essential steps in the design process. Along with hundreds of photos, this book walks the reader through the design process, material selection, safety concerns, basic building techniques, and the latest information on materials-including new recycled and composite materials-to set the perfect foundation for the dream outdoor space.</p>"
9780758276957,A Christmas Hope (linden Corners),['Joseph Pittman'],"<b>One final Christmas wish could change their lives forever...</b>
<p>Nora Connors Rainer has returned to her hometown, Linden Corners, to tend to her elderly but spunky pie-baking mother--and to nurse a broken heart. To keep busy, Nora opens ""A Doll's Attic,"" a consignment shop where locals can unload their unwanted heirlooms. And the upcoming holidays are bringing a host of interesting objects—and people—through her doors.</p>
<p>Eighty-five year old Thomas Van Diver hands Nora her first challenge: track down a rare, vintage item that holds powerful childhood memories for him—memories of his father and their last Christmas together before he went off to war and never returned.</p>
<p>Helping them both is Brian Duncan, whose farmhouse and windmill Thomas once called home. Together with his irrepressible young charge, Janey, Brian will uncover the mysteries of Christmas past—and create a Christmas present that just might restore their hope, and fulfill everyone's deepest wishes...</p>"
9781589233522,"500 Deer Hunting Tips: Strategies, Techniques & Methods (the Complete Hunter)",['Bill Vaznis'],"<b>One Simple Tip Can Bring You a Trophy!</b>
<p>This book gives whitetail hunters exactly what they're always looking for: that extra edge--whitetail hunters are always looking for that extra edge in outsmarting their prey. Short and to-the-point tips are just what many of them are looking for; 500 in one book is a great value. Approximately 150 of the tips are accompanied by detailed how-to photography.</p>
<p>Chapter topics include:</p>
<ul>
<li>Early-Season Scouting</li>
<li>Locating Racked Bucks</li>
<li>The Perfect Tree-Stand</li>
<li>Scent Control</li>
<li>Keeping a Low Profile</li>
<li>Predicting the Pre-Rut</li>
<li>Calling Strategies</li>
<li>Locating Nocturnal Bucks</li>
<li>Snow Tracking</li>
<li>Hunting Around Water</li>
<li>Hunting Bucks in the Snow</li>
<li>Scouting the Post Season</li>
</ul>"
9780738214511,A Little Bit Married: How To Know When It's Time To Walk Down The Aisle Or Out The Door,['Hannah Seligson'],"<b>Quiz: Are You “A Little Bit Married”?</b><br>
 We’ve been dating for more than a year.<br>
 I talk on the phone with his parents.<br>
 We go on vacations with each other’s families.<br>
 We’re planning to live together (or already do).<br>
 I often wonder, “Where is this going?”<br>
<br>
 <i>Do I just wait around? How can I be sure this person is really “The One”?</i> If this sounds familiar, you are not alone. It’s the dawning of an age when we’re not in any hurry to reach the milestones—house, spouse, and kids—that once marked adulthood, although we’d like to get there . . . soon.<br>
<br>
 In this practical, no-holds-barred guide, Hannah Seligson delivers an eye-opening look at why serial long-term relationships have become the new romantic rite of passage. From making life-changing sacrifices for your partner to dealing with doubts, Seligson explains how to make the most of this ambiguous state, including:<br>
 • What are the signs s/he’s ready for long-term commitment?<br>
 • How do you make decisions about careers, cohabitation, and religion when there isn’t a ring?<br>
 • What’s the best way to mention the “M” word to a commitment-phobe?<br>
 • How long should you stay A Little Bit Married before tying the knot . . . or moving on?<br>
<br>
 Combining expert advice with compelling anecdotes, <i>A Little Bit Married</i> will provide you with the roadmap you need to survive the life stage post–“Let’s Do It!” and pre–“I Do.”"
9780800719951,"Lancaster County Christmas, A",['Suzanne Woods Fisher'],"<b>Suzanne Woods Fisher</b> is the bestselling author of <i>The Choice</i>, <i>The Waiting</i>, and <i>The Search</i>, as well as nonfiction books about the Amish, including <i>Amish Peace</i>. Her interest in the Anabaptist cultures can be directly traced to her grandfather, W. D. Benedict, who was raised in the Old Order German Baptist Brethren Church in Franklin County, Pennsylvania. Benedict eventually became publisher of <i>Christianity Today</i> magazine. Suzanne is the host of a radio show called <i>Amish Wisdom</i>, and her work has appeared in many magazines. She lives in California."
9780789209924,80 Years Of The Oscar: The Official History Of The Academy Awards,['Robert Osborne'],"<b>The only official history of the Academy Awards and an indispensable addition to any movie buff’s library.</b> <br>
<br>
 For the film industry, the Academy Awards is the most celebrated and most significant night of the year: everyone longs for the recognition of being nominated to win a little golden statuette. For most of us, however, even a walk down the red carpet is just a dream. <i>80 Years of the Oscar</i> puts readers into those iconic plush seats for the thrill of the Academy Awards, from the first show in 1928, shortly after the introduction of the talking picture, to 2008’s 80th anniversary.<br>
<br>
 With hundreds of photographs and an informative text by Hollywood insider Robert Osborne, <i>80 Years of the Oscar</i> is the official history of the Academy Awards. Organized by year, <i>80 Years of the Oscar</i> chronicles the ceremonies themselves, as well as the accomplishments, trends, developments, and events that occurred, both within the Academy and for the film industry as a whole. Osborne comments on each year’s most important films and shares the stories behind them. He also transports readers into the awards show, quoting from notable acceptance speeches and celebrity reactions, as well as regaling readers with anecdotes from each year. All award nominees and winners are included, with a special listing of Oscar record holders. An indispensable and encyclopedic reference for the amateur and expert alike, from the struggling actor to the film critic, this book has been a popular favorite since its first edition was published just after the 60th awards ceremony. The authoritative <i>80 Years of the Oscar</i> provides a depth of coverage found nowhere else, and it is sure to please moviegoers around the world."
9781446357255,3 Beautiful Bags,['Lisa Lam'],"<b>Three sensational bag-making projects from Lisa Lam, bestselling author of <i>The Bag Making Bible</i></b>
<p>Includes all the sewing techniques and instructions you need to know to make the projects, from making adjustable straps to adding zips and magnetic snaps.</p>
<p>Download full-size templates direct from our website so you can print them out and get started straight away!</p>"
9780061718878,A Pearl In The Storm: How I Found My Heart In The Middle Of The Ocean,['Tori Murden Mcclure'],"<blockquote>
<p>""In the end,"" writes Tori McClure, ""I know I rowed across the Atlantic to find my heart, but in the beginning, I wasn't aware that it was missing.""</p>
</blockquote>
<p>During June 1998, Tori McClure set out to row across the Atlantic Ocean by herself in a twenty-three-foot plywood boat with no motor or sail. Within days she lost all communication with shore, but nevertheless she decided to keep going. Not only did she lose the sound of a friendly voice, she lost updates on the location of the Gulf Stream and on the weather. Unfortunately for Tori, 1998 is still on record as the worst hurricane season in the North Atlantic. In deep solitude and perilous conditions, she was nonetheless determined to prove what one person with a mission can do. When she was finally brought to her knees by a series of violent storms that nearly killed her, she had to signal for help and go home in what felt like complete disgrace.</p>
<p>Back in Kentucky, however, Tori's life began to change in unexpected ways. She fell in love. At the age of thirty-five, she embarked on a serious relationship for the first time, making her feel even more vulnerable than sitting alone in a tiny boat in the middle of the Atlantic. She went to work for Muhammad Ali, who told her that she did not want to be known as the woman who ""almost"" rowed across the Atlantic Ocean. And she knew that he was right.</p>
<p>In this thrilling story of high adventure and romantic quest, Tori McClure discovers through her favorite way—the hard way—that the most important thing in life is not to prove you are superhuman but to fully to embrace your own humanity. With a wry sense of humor and a strong voice, she givesus a true memoir of an explorer who maps her world with rare emotional honesty.</p>"
