id,origin,title,author,description,image
5579,Canadian,The Outer Harbour,Wayde Compton,"City of Vancouver Book Award WinnerIn his debut story collection, poet Wayde Compton explores the concept of place and identity in which characters and space ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-outer-harbour/9781551525723_cover/425363524-1-eng-CA/9781551525723_cover_coverbookpage_embed.jpg
5580,Canadian,The Outlander,Gil Adamson,"In 1903 a mysterious, desperate young woman flees alone across the west, one quick step ahead of the law. She has just become a widow by her own hand.Two ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-outlander2/9780887848285_cover/153344208-1-eng-CA/9780887848285_cover_coverbookpage_embed.jpg
5581,Canadian,The Outline Trilogy,Rachel Cusk,“These novels are among the most important written in this century so far.” —The Globe and MailRachel Cusk’s ambitious Outline trilogy has received ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-outline-trilogy/9781443458313_cover/424225201-1-eng-CA/9781443458313_cover_coverbookpage_embed.jpg
5582,Canadian,The Outside Circle,Patti LaBoucane-Benson,"Winner, CODE’s 2016 Burt Award for First Nation, Inuit and Métis Literature In this important graphic novel, two Aboriginal brothers surrounded by poverty, ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-outside-circle/9781770899377_cover/423008654-1-eng-CA/9781770899377_cover_coverbookpage_embed.jpg
5583,Canadian,The Oxford Book of Japanese Short Stories,Theodore W. Goossen,"This collection of short stories, including many new translations, is the first to span the whole of Japan's modern era from the end of the nineteenth century ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-oxford-book-of-japanese-short-stories/9780199583195_cover/386417161-1-eng-CA/9780199583195_cover_coverbookpage_embed.jpg
5584,Canadian,The Oyster Thief,Sonia Faruqi,"A&nbsp;Globe and Mail &quot;Best Book of the Year&quot; Two worlds collide when a mermaid and human man meet, plunging readers into a vast underwater realm brimming with ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-oyster-thief/9781681777917_cover/407371220-1-eng-CA/9781681777917_cover_coverbookpage_embed.jpg
5585,Canadian,The P.I. Contest,C.J. Carmichael,Kate Cooper cut all ties to her NYPD precinct and dumped her cheating fiancé.Jay Savage has gained custody of his teenage nephew and needs a stable job ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-p.i.-contest2/9780373716173_cover/420258790-1-eng-CA/9780373716173_cover_coverbookpage_embed.jpg
5586,Canadian,The Painted Girls,Cathy Marie Buchanan,Summer of Canadian Reading 2019A #1 National Bestseller and a New York Times BestsellerA gripping novel inspired by the real-life model for Edgar Degas’s ...,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-painted-girls/9781443412353_cover/424129598-1-eng-CA/9781443412353_cover_coverbookpage_embed.jpg
5587,Canadian,The Painting On Auerperg's Wall,Erika Rummel,"The novel revolves around the forced sale of a painting in Nazi-occupied Vienna. Zoltan Nagy, the legitimate heir, is pressured by his daughter to go to court ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-painting-on-auerperg-s-wall/9781771334891_cover/341132999-1-eng-CA/9781771334891_cover_coverbookpage_embed.jpg
5588,Canadian,The Palace Job,Patrick Weekes,"Loch is seeking revenge.It would help if she wasn’t in jail.The plan: to steal a priceless elven manuscript that once belonged to her family, but now is in ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-palace-job/9781477848203_cover/222416821-1-eng-CA/9781477848203_cover_coverbookpage_embed.jpg
5589,Canadian,The Paladin Caper,Patrick Weekes,"A thief’s good deeds are never done.Loch and her crew are determined to stop the ancients from returning to reclaim the world they once ruled, but the ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-paladin-caper/9781503948730_cover/252512134-1-eng-CA/9781503948730_cover_coverbookpage_embed.jpg
5590,Canadian,The Panic Zone,Rick Mofina,"A car crashes in Wyoming: A young mother is thrown clear of the devastating car crash. Dazed, she sees a figure pull her infant son from the flames. Or does ...",https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-panic-zone2/9780778327943_cover/420150543-1-eng-CA/9780778327943_cover_coverbookpage_embed.jpg
