title_url,title,authors,image,description
https://49thshelf.com/Books/T/The-Certainties,The Certainties,Aislinn Hunter,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-certainties/9780735276871_cover/424073252-1-eng-CA/9780735276871_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/R/Ridgerunner,Ridgerunner,Gil Adamson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/r/ridgerunner/9781487006563_cover/420461318-1-eng-CA/9781487006563_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/M/Memoirs-and-Misinformation,Memoirs and Misinformation,Jim Carrey,https://images.49thshelf.com/var/ezflow_site/storage/images/books/m/memoirs-and-misinformation/9780735280595_cover/416652655-1-eng-CA/9780735280595_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/L/Light-in-the-Forest,Light in the Forest,Holly Carr,https://images.49thshelf.com/var/ezflow_site/storage/images/books/l/light-in-the-forest/9781770589957_author/405689534-1-eng-CA/9781770589957_author_coverbookpage_embed.jpg,
https://49thshelf.com/Books/M/Molly-Falls-to-Earth2,Molly Falls to Earth,Maria Mutch,https://images.49thshelf.com/var/ezflow_site/storage/images/books/m/molly-falls-to-earth2/9781501182815_cover/425578706-1-eng-CA/9781501182815_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/F/Forest-Green,Forest Green,Kate Pullinger,https://images.49thshelf.com/var/ezflow_site/storage/images/books/f/forest-green/9780385683043_cover/417494247-1-eng-CA/9780385683043_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/L/Little-Secrets,Little Secrets,Jennifer Hillier,https://images.49thshelf.com/var/ezflow_site/storage/images/books/l/little-secrets/9781250154224_cover/423317859-1-eng-CA/9781250154224_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/N/No-Going-Back2,No Going Back,Sheena Kamal,https://images.49thshelf.com/var/ezflow_site/storage/images/books/n/no-going-back2/9780062869777_cover/424174164-1-eng-CA/9780062869777_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/S/Simon-the-Fiddler2,Simon the Fiddler,Paulette Jiles,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/simon-the-fiddler2/9780062966742_cover/424427397-1-eng-CA/9780062966742_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/G/Good-Citizens-Need-Not-Fear,Good Citizens Need Not Fear,Maria Reva,https://images.49thshelf.com/var/ezflow_site/storage/images/books/g/good-citizens-need-not-fear/9780735278424_cover/420277522-1-eng-CA/9780735278424_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/D/Death-on-the-Page,Death on the Page,Essie Lang,https://images.49thshelf.com/var/ezflow_site/storage/images/books/d/death-on-the-page/9781643852942_cover/423860041-1-eng-CA/9781643852942_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/U/Untamed-Shore,Untamed Shore,Silvia Moreno-Garcia,https://images.49thshelf.com/var/ezflow_site/storage/images/books/u/untamed-shore/9781947993921_cover/421146463-1-eng-CA/9781947993921_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/H/Hunting-for-a-Highlander,Hunting for a Highlander,Lynsay Sands,https://images.49thshelf.com/var/ezflow_site/storage/images/books/h/hunting-for-a-highlander/9780062975034_cover/424192574-1-eng-CA/9780062975034_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/There-s-A-Murder-Afoot,There's A Murder Afoot,Vicki Delany,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/there-s-a-murder-afoot/9781643850344_cover/419630200-1-eng-CA/9781643850344_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/D/Dakghar,Dakghar,Ashis Gupta,https://images.49thshelf.com/var/ezflow_site/storage/images/books/d/dakghar/9781988440354_cover/419769924-1-eng-CA/9781988440354_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/An-Irish-Country-Family,An Irish Country Family,Patrick Taylor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/an-irish-country-family/9780765396853_cover/422410335-1-eng-CA/9780765396853_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/Tooth-and-Claw2,Tooth and Claw,Jo Walton,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/tooth-and-claw2/9781250242723_cover/422248873-1-eng-CA/9781250242723_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/C/Canadian-Saint,Canadian Saint,Janet Trull,,
https://49thshelf.com/Books/M/Many-Rivers-to-Cross,Many Rivers to Cross,Peter Robinson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/m/many-rivers-to-cross/9780771072802_cover/420134521-1-eng-CA/9780771072802_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/R/Read-and-Buried,Read and Buried,Eva Gates,https://images.49thshelf.com/var/ezflow_site/storage/images/books/r/read-and-buried/9781643852331_cover/410288835-1-eng-CA/9781643852331_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/M/Mirror-s-Edge,Mirror's Edge,Alex Passey,https://images.49thshelf.com/var/ezflow_site/storage/images/books/m/mirror-s-edge/9781988168234_cover/423517119-1-eng-CA/9781988168234_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/C/Chasing-Painted-Horses,Chasing Painted Horses,Drew Hayden Taylor,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/chasing-painted-horses/9781770865600_cover/405923995-1-eng-CA/9781770865600_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/C/Carpe-Fin,Carpe Fin,Michael Nicoll Yahgulanaas,https://images.49thshelf.com/var/ezflow_site/storage/images/books/c/carpe-fin/9781771622240_cover/420391140-1-eng-CA/9781771622240_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/I/Island9,Island,Johanna Skibsrud,https://images.49thshelf.com/var/ezflow_site/storage/images/books/i/island9/9780735234581_cover/409338350-1-eng-CA/9780735234581_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Monster-of-Elendhaven,The Monster of Elendhaven,Jennifer Giesbrecht,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-monster-of-elendhaven/9781250225689_cover/421882676-1-eng-CA/9781250225689_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Wagers,The Wagers,Sean Michaels,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-wagers/9780735278110_cover/392143232-1-eng-CA/9780735278110_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Brilliant-Dark,The Brilliant Dark,S. M. Beiko,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-brilliant-dark/9781770413597_cover/405244461-1-eng-CA/9781770413597_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Future-of-Another-Timeline,The Future of Another Timeline,Annalee Newitz,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-future-of-another-timeline/9780765392107_cover/350232619-1-eng-CA/9780765392107_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/G/Greenwood,Greenwood,Michael Christie,https://images.49thshelf.com/var/ezflow_site/storage/images/books/g/greenwood/9780771024450_cover/411643170-1-eng-CA/9780771024450_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/A/A-Golden-Grave2,A Golden Grave,Erin Lindsey,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-golden-grave2/9781250620927_cover/422192551-1-eng-CA/9781250620927_cover_coverbookpage_embed.jpg,
