title,authors,image,description
Abattoir Blues,Peter Robinson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/abattoir-blues/9780771076428_cover/247271163-1-eng-CA/9780771076428_cover_coverbookpage_embed.jpg,"Canada's premier, bestselling crime fiction writer, Peter Robinson gets better and better. The twenty-second book in the much-loved Inspector Banks series -- ..."
Abattoir Blues,Peter Robinson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/abattoir-blues2/9780771076442_cover/420070254-1-eng-CA/9780771076442_cover_coverbookpage_embed.jpg,"&quot;Brilliantly plotted, beautifully paced, it gathers speed and dread until I could barely stand it. Peter Robinson writes with compassion, with depth, with the ..."
Abby's Journey,Steena Holmes,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/abby-s-journey/9781503940321_cover/263385852-1-eng-CA/9781503940321_cover_coverbookpage_embed.jpg,"Twenty-year-old Abigail Turner has only known her mother, Claire—who died shortly after she was born—through letters, videos, postcards, and journals. ..."
A Beautiful Truth,Colin McAdam,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beautiful-truth/9780670066360_cover/313087032-1-eng-CA/9780670066360_cover_coverbookpage_embed.jpg,"&nbsp; A novel about the simple truths that transcend species, about the meaning of family, the lure of belonging, and the capacity for survival   Walt and Judy are ..."
A Beautiful Truth,Colin McAdam,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beautiful-truth2/9781616953782_cover/389325986-1-eng-CA/9781616953782_cover_coverbookpage_embed.jpg,"Told simultaneously from the perspective of humans and chimpanzees, set in a Vermont home and a Florida primate research facility, A Beautiful Truth—at times ..."
A Beautiful Truth,Colin McAdam,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beautiful-truth3/9780143182221_cover/410286573-1-eng-CA/9780143182221_cover_coverbookpage_embed.jpg,"Walt and Judy are deeply in love, but Judy longs for a child. Walt measures all beauty&nbsp;against that of Judy and doesn’t want her eyes to get any sadder. They ..."
A Beauty,Connie Gault,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beauty/9780771036552_cover/206167930-1-eng-CA/9780771036552_cover_coverbookpage_embed.jpg,A spellbinding and highly original novel that gives a new name to the Prairie Novel by one of the most exciting new literary voices in Canada. For readers of ...
A Beauty,Connie Gault,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beauty2/9780771036576_cover/398503165-1-eng-CA/9780771036576_cover_coverbookpage_embed.jpg,"In a drought-ridden Saskatchewan of the 1930s, self-possessed, enigmatic Elena Huhtala finds herself living alone, a young Finnish woman in a community of ..."
A Beckoning War,Matthew Murphy,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-beckoning-war/9781771860680_cover/256120259-1-eng-CA/9781771860680_cover_coverbookpage_embed.jpg,"Winner: 2016 Foreword Reviews INDIES, Silver, War and Military (Adult Fiction) Captain Jim McFarlane, a Canadian infantry officer, is coming apart at the seams. ..."
A Better Man,Louise Penny,https://images.49thshelf.com/var/ezflow_site/storage/images/books/a/a-better-man2/9781250066213_cover/421900645-1-eng-CA/9781250066213_cover_coverbookpage_embed.jpg,"“‘A Better Man,' with its mix of meteorological suspense, psychological insight and criminal pursuit, is arguably the best book yet in an outstanding, ..."
